7697,100
7698,100
32000,106
28147,31
32192,2
35187,79
30393,25
38107,127
11,11
17361,201
2629,85
10558,98
10388,98
10387,98
23204,2
23195,2
37692,2
34762,22
11910,2
11909,2
11908,2
31993,39
31994,39
15795,3
8883,3
32000,106
35489,85
33570,85
36608,85
32587,85
37281,85
37280,85
35307,35
35306,35
4132,35
22974,2
2981,2
2778,2
2777,2
2776,2
25489,255
33719,27
32452,27
37114,2
37113,2
3076,2
3075,2
1316,56
1315,56
37626,106
34271,25
34272,25
31734,25
32753,25
28010,116
35124,418
29565,96
35123,418
30066,304
29857,25
35122,418
38433,547
35121,418
29559,73
29757,35
38001,536
36606,64
36607,64
29756,35
35804,35
29755,35
29719,3
30265,73
38620,35
37359,418
31999,106
35803,35
36221,475
36223,475
36220,475
36219,475
36218,475
36217,475
25481,88
26635,64
2432,3
6776,18
8275,3
32492,24
23257,3
8789,5
8788,5
8787,5
35949,429
38453,331
29718,3
28220,3
31922,10
27661,73
18731,119
7696,119
15795,3
32000,106
35355,107
35957,429
35958,429
34316,384
10558,98
10388,98
7695,119
7696,119
35949,429
32000,106
31999,106
36221,475
35355,107
28147,31
32192,2
35187,79
11,11
17361,201
2629,85
2628,85
10558,98
10388,98
10387,98
10386,98
23204,2
23195,2
37692,2
34762,22
11910,2
11909,2
11908,2
33761,4
30844,106
176,3
6,45
6044,3
28502,145
28501,145
3543,94
33499,39
31994,39
15795,3
8883,3
35355,107
28147,31
32192,2
2628,85
2627,85
9,13
10378,73
28573,73
10557,73
33987,73
29606,73
10385,73
10384,73
10383,73
10381,73
10380,73
10377,73
33078,330
32289,330
34973,464
36118,464
36117,464
36119,464
34974,464
222,96
38108,127
35308,145
8,145
34002,292
18307,47
35957,429
35958,429
29650,34
35956,429
29649,34
29648,34
33433,73
36766,73
35950,429
33688,347
35813,35
29647,34
37997,536
37166,27
32191,336
37254,34
29720,3
29907,73
29908,73
35812,35
31985,64
13948,15
35033,13
37063,13
37064,13
34420,35
33694,347
35125,418
33683,347
35187,79
30393,25
2776,2
25489,255
33719,27
32452,27
37114,2
2777,2
2778,2
37113,2
3076,2
3075,2
1316,56
1315,56
37626,106
13717,39
31994,39
35949,429
35957,429
35958,429
11,11
34316,384
35814,35
23204,2
13954,31
33549,77
30844,106
34866,3
34489,280
2812,106
15300,13
34097,34
29592,126
34487,406
13717,39
4006,3
32000,106
31999,106
36221,475
36223,475
35355,107
28147,31
11,11
17361,201
10558,98
10388,98
10387,98
23204,2
23195,2
11910,2
11909,2
30844,106
176,3
6,45
28502,145
28501,145
2812,106
15300,13
15299,13
1500,138
32196,2
17214,77
17213,77
33949,77
29597,257
37707,501
3761,85
3710,94
28035,5
37838,479
33315,108
33314,108
12905,87
19129,245
32197,2
33927,96
10347,9
10936,114
7100,3
7101,3
19294,126
22987,3
12069,42
27584,106
36132,103
24561,129
38512,330
34532,62
33515,39
30398,47
31418,47
30977,47
30990,47
17367,260
200,56
197,56
198,56
36374,108
518,147
17575,35
28012,5
26826,89
547,27
548,27
37630,202
38610,330
18093,128
29824,87
24604,6
14767,31
37459,216
28923,15
28924,15
30452,56
617,56
618,56
14768,31
4322,6
14766,15
570,106
569,106
22586,6
22585,6
9135,6
9132,6
9133,6
18731,119
7696,119
35949,429
35908,73
35957,429
34316,384
35627,10
35814,35
29761,35
29710,3
29709,3
4006,3
32000,106
31999,106
36221,475
35355,107
11,11
17361,201
